ID	alt.ID	metabolism	pOT6.1	pOT6.2	pOT6.3	pOT6.4	pOT6.5	pOT10.2	pOT10.3	pOT10.4	pOT10.5	pHA6.1	pHA6.2	pHA6.3	pHA6.4	pHA6.5	pHA10.2	pHA10.3	pHA10.4	pHA10.5	pKV6.1	pKV6.2	pKV6.3	pKV6.4	pKV6.5	pKV10.2	pKV10.3	pKV10.4	pKV10.5	pVA6.1	pVA6.2	pVA6.3	pVA6.5	pVA10.1	pVA10.2	pVA10.3	pVA10.4
TR10002|c2_g2_i7|m.53772	NA	NA	26.1879	26.33023	25.97334	25.51078	25.71169	25.95462	25.22255	25.35316	26.07812	26.0151	26.07112	25.75812	25.47001	25.83021	25.59656	25.18321	22.24307	25.71523	26.31244	25.86259	25.61161	26.10973	25.73405	26.44237	26.02428	25.45485	26.02701	25.8056	26.39743	25.95757	25.51701	25.35286	25.88232	25.41002	25.88997
TR10008|c0_g1_i1|m.54163	NA	NA	23.14692	23.72879	21.48124	22.93887	21.49214	22.17986	22.54803	21.54854	23.56628	24.88152	23.74417	24.54998	22.5311	22.65119	20.91232	23.39519	23.7544	21.45844	26.37411	23.10164	24.69057	24.32402	24.79714	23.20976	23.9393	21.10021	26.93055	21.94203	23.16071	23.45137	21.64557	22.38953	21.46369	21.70345	23.44947
TR10020|c5_g3_i6|m.55274	NA	NA	28.4122	28.10644	28.32633	27.61098	27.78868	28.14802	27.52028	27.83659	28.20713	27.86791	28.02496	27.5658	27.54149	27.53712	28.37687	28.37252	27.51856	28.0463	27.71463	27.87173	27.44443	27.91553	27.58706	28.29968	28.12307	27.84834	28.09361	28.28069	27.9975	28.19404	27.84506	28.16605	28.00131	28.0874	27.92886
TR10021|c1_g2_i1|m.55337	NA	NA	27.98669	27.64279	27.94899	27.98956	28.14054	27.70319	28.46634	27.87291	28.2795	28.5045	28.30195	28.4032	28.4624	28.63187	29.00745	28.87405	28.54797	28.8162	27.23991	27.42958	27.66003	27.2699	27.52515	27.75111	27.70932	28.24282	27.87015	27.95033	27.52761	27.60851	28.10964	28.67516	27.95787	28.83476	28.31993
TR10403|c1_g1_i1|m.57462	NA	NA	26.30828	26.14059	26.62631	26.94804	26.90472	27.02865	26.90679	27.36953	26.03023	25.53774	26.37602	25.49653	26.91354	25.71303	26.57016	25.74602	26.06952	26.94201	25.51223	26.63353	26.19227	26.38311	25.92237	26.23394	26.03366	26.63492	25.4455	26.39966	26.50733	26.63298	26.47836	27.05714	26.69166	26.62282	26.72182
TR10466|c0_g1_i4|m.58380	NA	NA	27.59598	27.39828	27.64753	27.47785	27.67647	27.84529	27.58169	27.8562	27.31709	27.13897	27.43698	27.19216	27.62979	27.30522	27.48762	27.36553	27.54893	27.68104	26.86514	27.67175	27.41418	27.50142	27.12524	27.3982	27.42414	27.59092	26.82857	27.33458	27.45113	27.61414	27.47514	27.8562	27.57326	27.51036	27.54621
TR10856|c0_g1_i2|m.59620	NA	NA	27.40332	27.13907	27.17188	27.48485	27.49473	27.19938	27.77348	27.54267	27.09547	27.20452	27.20853	26.58764	27.16624	27.1059	27.39934	27.21632	27.17427	27.43492	26.70991	26.98902	27.11674	27.00357	26.98098	27.21234	27.2507	27.73014	26.97978	27.48961	27.23745	27.19348	27.37352	27.63658	27.51187	27.61786	27.55179
TR10882|c1_g1_i8|m.60091	TR10882|c1_g1_i7|m.60085	NA	25.80737	26.02756	25.80361	25.94978	26.04039	26.19071	25.59881	25.9297	25.74006	25.75101	25.62048	25.46871	25.43911	25.90387	26.21924	25.88479	25.54348	25.89918	25.81909	25.22185	25.48013	25.78826	25.64306	25.68255	25.72513	25.81995	25.61352	25.76737	26.1031	25.98509	25.93856	25.51692	26.13483	26.11158	25.80174
TR10886|c0_g1_i1|m.60182	NA	NA	24.93067	24.84048	24.05109	24.75934	24.70757	24.35998	25.06402	23.77816	24.46551	24.53961	24.97097	24.31271	24.3232	24.43663	24.24583	24.02369	23.86079	23.94753	24.45312	24.41274	24.8447	24.78122	24.37829	24.54998	24.13555	24.34793	24.73092	24.53214	24.44891	24.52247	24.49546	24.31893	24.19144	24.65556	24.22523
TR10905|c3_g1_i2|m.60585	NA	TRUE	29.62106	29.27449	29.4812	29.41438	29.99725	29.32648	30.04049	29.51681	29.50235	29.26519	29.46974	29.01728	29.47458	29.49244	29.27779	29.40973	29.41879	29.58488	28.88475	29.63789	29.52146	29.42067	29.50251	29.34647	29.29588	29.82478	28.92388	29.72853	29.2425	29.3442	29.75446	29.96265	29.63079	29.7839	29.69124
TR10950|c0_g1_i2|m.61449	NA	NA	28.91582	28.98913	28.80507	28.11347	28.3327	28.9972	27.80409	27.75207	29.17098	29.16411	28.97126	29.08327	28.41325	28.86838	29.02385	29.25079	28.73302	28.64127	29.13009	28.64138	28.31976	28.81409	28.47522	29.09683	29.09356	28.00164	29.33648	28.56678	28.85168	28.57532	28.36799	28.59399	28.73147	28.61077	28.45329
TR10953|c0_g1_i1|m.61469	NA	NA	28.57845	28.40998	28.46646	27.86083	27.99335	28.53927	27.6981	27.30348	28.83364	28.67835	28.46365	28.57351	27.97241	28.3903	28.7994	28.86083	28.3446	28.37691	28.05724	28.12701	27.03863	27.86024	27.20499	28.63502	28.7557	27.82019	28.14535	28.11639	28.31816	28.12923	27.80655	28.32337	28.28428	28.39542	28.07719
TR10995|c0_g1_i1|m.61759	NA	NA	24.31852	24.37438	24.3332	24.42246	23.78556	23.94396	23.72505	24.10446	23.99187	24.08359	24.49619	23.91269	23.7681	23.82997	23.75878	23.51593	23.61167	24.33108	24.26456	24.04252	24.23411	24.57473	24.0966	24.53083	24.27284	24.08683	24.09152	24.70377	24.85681	24.39989	24.2169	23.12665	24.08675	24.23805	23.86457
TR11230|c0_g1_i1|m.62507	NA	NA	29.277	29.19728	29.61251	29.77938	29.76934	29.5151	29.5733	30.02234	28.94659	28.60978	28.88701	29.03821	29.52047	29.2226	29.07122	29.14358	29.25793	29.42096	28.53353	29.4123	29.39364	29.47642	29.20301	29.47143	29.13487	29.72008	28.6194	29.46593	29.20133	29.28107	29.30646	29.47402	29.38897	29.54403	29.39911
TR11285|c0_g1_i1|m.62616	NA	NA	23.77595	24.14266	24.12202	23.93724	23.69264	24.37703	23.78736	24.01069	23.8446	23.31188	23.73944	23.28249	23.56454	23.24117	24.19648	23.41648	22.98678	24.0446	24.03654	23.73975	23.59138	23.69328	23.5836	24.22472	23.76162	24.09031	23.04758	23.86759	23.81822	24.09297	23.89078	24.12786	24.308	24.04385	23.62823
TR11653|c0_g1_i1|m.63283	NA	NA	24.99615	24.96274	25.47253	25.21808	25.72926	25.9389	26.02045	26.15987	25.41154	24.12888	24.32992	24.72255	26.29971	24.9397	26.32884	25.33381	25.68728	26.02064	23.69402	26.00013	24.43746	24.50948	24.90481	24.53576	25.1673	25.78811	23.81098	24.79347	24.37498	24.93499	25.03082	25.73508	25.6205	24.4106	24.99998
TR11729|c0_g1_i1|m.63419	NA	NA	29.04312	28.82129	28.57881	29.39583	28.90386	28.07719	29.06743	28.96298	29.21766	30.05271	29.01622	29.60813	28.97793	29.70015	29.37098	29.92507	29.55082	28.72452	30.17688	29.29353	30.35026	29.65973	30.4071	29.95033	30.09371	29.77731	31.01678	30.29253	29.57678	29.87567	29.7646	29.96623	29.81801	29.65687	30.05517
TR12072|c0_g1_i1|m.64245	NA	TRUE	29.54856	29.50216	29.72109	29.1699	29.96058	29.45809	29.73833	29.06976	29.95505	29.63118	29.86773	29.69227	29.16615	29.66909	29.81329	29.99712	29.76784	29.7071	29.58658	29.73597	29.50732	29.84685	29.47206	29.85804	29.91499	29.84315	29.70845	29.82322	29.43722	29.72533	29.79335	30.2571	29.78963	30.17498	29.99752
TR12208|c0_g1_i1|m.65210	NA	NA	24.49259	24.42675	24.95376	24.6803	24.87436	24.79466	24.59446	25.00821	24.3808	23.79382	24.51527	24.06159	24.87605	24.44234	24.74319	24.33967	24.31645	25.08229	23.2798	24.89537	23.93076	24.51689	24.39937	24.16216	24.36673	24.4971	22.86309	24.29887	24.65682	24.88618	25.09792	24.75634	25.40746	24.86183	24.83137
TR12604|c0_g5_i1|m.66298	NA	NA	26.37142	25.99268	26.58921	26.23272	26.33576	26.63381	26.19704	25.58941	25.94755	25.59602	25.97378	25.68467	26.48564	25.73619	26.28078	25.59548	25.71353	26.29784	25.64914	26.06238	25.95023	25.9715	25.67777	25.8179	25.41767	26.02399	25.24945	26.21806	26.45964	26.32821	26.62157	26.65895	26.1606	26.53956	26.22343
TR12633|c2_g1_i2|m.68116	NA	NA	27.07847	27.29553	27.03349	26.85555	26.76787	27.13193	26.75264	26.13022	26.90564	27.15827	26.9629	27.12189	27.17102	27.14744	27.12386	27.06415	26.87678	27.07408	27.02623	27.06856	26.60809	27.00603	26.88716	26.69179	27.1332	26.92717	27.02749	26.82323	26.98425	27.01041	27.07999	26.8597	27.09708	27.09003	27.07928
TR12642|c0_g1_i1|m.68598	NA	NA	30.41679	30.23797	30.313	30.09333	29.93747	30.2617	29.60224	30.02115	30.10512	30.21489	30.42632	30.01784	30.10562	30.03263	30.06522	30.08626	29.97309	30.10961	30.23386	30.21037	29.74246	30.23877	30.01956	30.20525	30.03354	29.87022	29.8045	30.30943	30.1966	30.24672	30.12386	30.07099	30.01638	30.13063	30.05025
TR12646|c0_g2_i1|m.68824	NA	NA	26.44995	26.32701	26.35008	26.64058	26.85222	25.73647	26.62282	27.90409	25.67457	25.9642	26.03385	26.256	25.70723	26.61161	25.79231	24.81753	26.21087	26.22002	25.81529	26.60668	26.71502	26.43498	26.56405	26.13332	25.88883	26.25297	25.44717	26.2847	26.68966	26.54115	26.85484	26.2478	26.4833	26.00279	26.12676
TR12667|c0_g2_i2|m.70052	NA	NA	28.40044	28.07847	28.07368	27.96576	28.06075	27.91701	27.89203	27.79154	28.25435	28.49037	28.16456	28.28555	27.93826	28.23759	27.90317	27.97301	27.89452	27.9323	28.4751	28.00614	28.00002	27.98098	28.11312	27.91096	27.91376	27.79971	28.16749	28.31881	28.14797	28.11307	27.93714	27.92434	27.91946	27.76528	27.90167
TR12685|c1_g1_i3|m.71007	NA	NA	23.43033	23.97552	23.87521	23.28743	23.87521	23.05669	23.94172	23.53267	23.76253	23.95713	24.23484	24.21564	23.02125	23.23926	23.96129	23.97141	24.35897	23.17968	24.6355	24.06135	23.80469	24.22479	23.78536	24.51008	24.30222	23.57554	24.63195	23.39244	23.75216	23.52576	23.37849	23.94038	23.15939	24.27555	23.88707
TR12694|c5_g1_i1|m.71595	TR12694|c5_g1_i4|m.71613	NA	26.10287	25.86448	26.02956	25.9647	26.18743	25.78853	25.97106	26.44564	25.93247	25.83547	25.80816	25.75376	25.5402	25.6845	26.09088	26.07079	25.94925	25.69533	25.58454	25.96642	25.9805	25.76385	25.55611	25.70904	25.87014	26.07057	25.74645	26.03762	26.05194	26.01999	25.72018	26.1886	25.84324	26.24833	25.81563
TR12705|c0_g1_i2|m.72183	NA	NA	25.68694	25.54436	25.20464	25.51944	25.69086	25.25516	25.6572	25.0741	25.28546	25.25548	25.40513	25.10221	25.54436	25.35921	25.32299	25.14678	24.88036	25.60589	25.53398	25.63503	25.25721	25.51986	25.42047	25.2274	24.97307	25.29365	24.37318	25.69503	25.72536	25.46036	25.42089	25.49981	25.10077	25.53896	25.27994
TR12732|c0_g1_i1|m.72340	NA	NA	24.62416	24.40425	24.4279	24.45751	24.70071	24.65048	24.47717	24.5794	24.43759	24.07659	24.33538	24.12951	24.54144	24.35944	24.33797	24.26892	23.40876	24.43001	23.98242	24.2732	24.28489	24.38555	24.12408	24.47104	24.28383	24.37019	24.11148	24.56378	24.45569	24.26464	24.36466	24.01954	24.72739	24.34699	24.64417
TR12764|c0_g1_i1|m.72520	NA	TRUE	28.90495	28.43209	27.95205	28.42182	28.43046	27.62812	28.59295	28.08477	28.70236	28.74711	28.42662	28.71581	28.25813	29.03218	27.96428	29.07653	28.2893	27.99916	28.63627	28.26266	28.95989	28.80067	28.87874	28.55318	28.91316	28.09753	28.5842	29.0464	28.32079	28.38439	28.21341	28.35586	28.0503	28.18561	28.19366
TR12805|c0_g1_i1|m.72823	NA	NA	25.84551	25.8928	24.2913	26.37142	26.81982	26.97388	26.47987	27.07449	25.92316	24.96877	25.28542	24.67718	26.08389	24.00642	26.21695	24.49497	25.28796	25.70917	24.12818	25.02272	26.01056	26.03198	26.75519	25.00372	25.68116	26.00823	24.00101	25.17668	25.05329	25.03162	26.21314	28.00764	26.89908	26.94022	25.6209
TR12827|c0_g1_i2|m.72997	NA	NA	25.85759	25.93578	26.08596	25.53795	25.52001	26.36117	25.50249	25.28334	25.98466	25.62472	25.72143	25.28496	25.49088	25.51015	26.06248	26.01757	25.4107	25.99873	25.6214	25.74006	25.43752	25.54969	25.16162	25.98248	26.02399	25.69912	24.19873	25.616	26.02629	25.83012	25.59716	25.90477	25.78502	25.84355	25.61723
TR12889|c1_g2_i1|m.73514	NA	NA	22.80599	22.68898	22.57081	22.55866	22.43621	22.41632	22.54215	22.34711	22.49534	22.44546	22.67325	22.66021	22.07192	22.61995	22.35773	22.48225	22.88202	22.36538	22.06465	22.50565	22.57987	22.55536	22.65434	22.5914	22.51692	22.47586	22.56978	22.55251	22.55274	22.48846	22.51845	22.1874	22.58854	22.29339	22.4051
TR13007|c1_g1_i6|m.74503	NA	NA	31.7071	31.31024	31.3852	31.85623	32.03986	31.19472	31.75899	32.1116	30.82593	31.16956	31.5299	31.04876	31.7729	31.44436	31.18583	30.77164	30.81566	31.41342	30.82525	31.75075	31.75055	31.61505	31.38469	31.435	30.88052	31.50403	30.44549	31.4334	31.71996	31.98281	31.87632	31.36029	31.47923	31.38607	31.51404
TR13007|c1_g1_i9|m.74520	TR13007|c1_g1_i14|m.74548	NA	31.89544	31.692	31.88161	32.13715	32.06779	31.72078	31.98943	32.13556	31.42322	31.58504	31.69598	31.56615	31.88245	31.87953	31.76943	31.37539	31.37984	31.93554	31.56402	31.90981	31.971	31.98261	31.7332	32.14856	31.46961	32.11799	31.30193	32.0294	31.92252	32.09358	31.98607	32.03692	31.91876	31.8265	31.92483
TR13019|c0_g1_i1|m.75740	NA	NA	26.21998	25.86606	25.33347	25.50948	25.2947	25.74663	25.00967	21.64655	26.22804	26.24091	26.18219	26.162	25.02926	25.87968	25.93834	26.30226	25.63328	25.50546	26.3875	25.85804	25.62324	26.13295	25.86927	26.36585	26.23595	25.31848	26.74535	25.35202	25.99281	25.57288	24.99049	25.52809	25.21241	25.68354	25.49262
TR13024|c4_g3_i3|m.75962	NA	NA	27.17112	26.8947	27.3559	27.25404	27.3887	27.3765	27.14977	27.42654	27.1048	26.75085	27.09003	26.86065	26.96179	27.00988	27.45905	26.9983	26.92332	27.35422	26.59577	27.32139	26.73596	27.06958	26.6967	27.11307	26.96532	27.3262	26.60738	26.82299	27.12977	27.46303	27.29114	27.59171	27.52006	27.40998	27.30348
TR13042|c0_g1_i3|m.77400	NA	NA	29.2724	29.4263	29.20387	29.31506	28.9582	29.11988	29.20713	28.99776	29.44551	29.208	29.36033	29.57841	28.88672	29.06548	29.17836	29.23352	29.53284	29.00659	28.92929	29.12731	29.30252	29.4901	29.39622	29.40509	29.31285	28.72104	28.276	29.62312	29.20592	29.11567	28.75681	29.07533	28.80855	29.11491	28.98867
TR13058|c1_g4_i2|m.78145	NA	NA	25.11585	24.94664	24.78691	24.43161	24.69115	24.65807	24.36506	24.36633	25.02572	24.84594	24.58233	25.08323	24.56448	25.05945	24.8469	25.28616	25.17043	24.73913	24.87221	24.96164	24.62723	24.88283	24.99559	24.81734	25.1049	24.51147	24.82493	24.86887	25.10286	24.60139	24.70915	24.97482	24.50797	24.6739	24.59855
TR13061|c0_g1_i1|m.78210	NA	NA	26.53313	26.78669	26.01086	25.73903	24.87145	25.46834	25.32828	24.67546	26.77077	27.1034	26.71699	27.11118	25.32306	26.66207	25.77969	26.55023	26.73247	25.81587	27.75583	26.18259	26.75328	26.66669	26.4868	26.64348	26.66601	25.0597	27.43476	26.1379	26.29842	26.09553	25.68939	25.08529	25.32248	24.86372	25.79892
TR13068|c2_g1_i8|m.78545	NA	NA	28.26015	28.04864	28.17669	28.12687	28.35888	27.91798	28.26352	28.41426	28.09487	27.98425	27.95177	27.8568	28.17493	28.07842	28.19079	28.17064	28.16552	28.12972	27.53564	28.18693	27.86177	27.88454	27.9619	27.65595	27.87561	28.10049	27.51736	28.08035	28.01478	28.03601	28.06871	28.16849	28.21808	28.13594	28.07076
TR13074|c1_g1_i10|m.78775	NA	NA	29.43209	28.68027	29.28368	28.83403	29.12376	29.13506	28.85121	28.32869	29.37009	29.85997	29.53532	29.33843	29.30735	29.72174	29.70403	30.32367	29.61616	29.09562	29.37343	28.78687	29.10442	29.10074	29.31064	29.24717	29.46112	28.98395	29.90326	29.65889	29.38821	28.92224	29.22157	29.99402	29.23327	29.36269	29.38616
TR13083|c2_g1_i6|m.79168	NA	NA	25.33912	25.33984	25.18253	24.85562	24.82571	25.29207	24.6979	24.78052	25.76393	25.40895	24.96521	25.24576	25.03229	25.21971	25.46173	25.61065	25.32162	24.71754	25.35871	25.08687	24.62053	25.22203	25.22435	24.9461	25.06184	24.75251	25.83511	25.0859	25.07619	24.83065	25.00573	24.9968	24.88967	24.78586	24.96177
TR13294|c0_g1_i1|m.80501	NA	TRUE	29.0082	28.65209	27.97388	28.2632	28.14161	28.17436	28.41103	27.82602	28.69242	29.45838	28.9968	29.31456	28.04646	28.86841	28.01398	28.48842	29.02776	27.9837	29.76561	28.443	28.96425	28.84655	28.84942	28.73476	28.52328	27.96074	29.41561	28.87874	28.40202	28.20574	28.12159	27.85472	27.85585	28.03086	28.35279
TR13303|c0_g2_i1|m.80691	NA	NA	25.3047	27.7785	27.16787	27.99674	27.64774	27.48047	27.75831	27.43539	26.85007	25.62092	28.00662	27.24726	27.72084	27.63416	27.78631	27.6637	27.44285	27.86325	25.86762	27.84852	27.88925	27.89203	27.92892	27.2724	27.38747	27.62157	24.8905	25.59693	28.14312	27.88384	27.86815	27.76452	27.50066	27.75258	27.6107
TR13308|c0_g1_i2|m.80753	TR13308|c0_g1_i1|m.80748	NA	25.33211	25.10653	24.67971	24.58049	24.54551	24.9631	24.59434	23.09601	24.78327	24.86528	24.96631	24.96943	24.87018	24.55028	25.43368	24.89416	21.44103	24.93612	24.75903	24.77163	24.99417	24.90026	24.7213	24.78427	22.92475	24.34164	24.49026	24.88753	24.82099	24.88227	24.90238	24.68918	22.57627	25.0486	24.64949
TR13319|c0_g1_i3|m.81036	NA	NA	27.40949	27.09285	27.11674	26.87009	26.91216	27.11793	27.03076	26.45794	27.35531	27.41546	26.98837	27.22149	26.60625	27.00357	27.14092	27.33748	27.21382	26.74471	27.2756	26.89885	26.97531	26.92377	27.1037	27.00699	27.29369	26.82129	27.66513	27.14861	27.12701	26.69883	27.01553	26.85055	26.67667	26.80907	26.92286
TR13452|c0_g1_i1|m.82964	NA	NA	25.79074	25.76352	25.85124	25.58678	25.25101	26.07788	24.98381	25.10984	25.87959	25.60156	25.52259	25.43205	25.21534	25.49823	25.77608	25.82481	25.52546	25.50591	25.65949	25.62623	25.53264	25.69567	25.27334	25.83405	25.87378	25.47138	25.83894	25.62698	26.12776	25.62347	25.60995	25.85624	25.76159	25.72388	25.61012
TR1360|c0_g1_i1|m.3999	NA	NA	27.68719	27.58312	27.39338	27.58764	27.3554	27.41401	27.69564	27.56471	27.78812	27.80169	27.66146	27.6569	27.5232	27.7604	27.55691	27.56558	27.75901	27.52223	27.92598	27.49618	27.67674	27.71653	27.72936	27.4434	27.55815	27.44798	27.91279	27.69325	27.29097	27.38616	27.32457	27.3119	27.4103	27.30304	27.54318
TR1365|c0_g1_i1|m.4022	NA	NA	25.01687	24.01716	24.84407	25.11656	24.75501	24.91825	25.08286	24.6265	25.08387	25.41477	24.86896	25.08849	25.00509	25.16454	25.31848	25.29306	25.19009	25.04034	24.97893	24.65431	24.84019	24.73474	24.83543	25.07382	25.11561	25.22479	25.19731	25.39405	24.50749	24.32937	24.20225	25.43562	24.12802	24.93742	24.75445
TR13964|c0_g1_i1|m.84039	NA	NA	27.87303	28.1043	28.39856	28.33913	28.74743	28.28229	28.1785	28.81029	27.63914	27.22674	27.91821	27.59889	28.49056	27.97356	28.38611	27.42029	27.59904	28.46972	26.59449	28.28087	27.9894	28.03543	27.89273	28.18513	27.58154	28.47352	26.1116	28.01622	28.35372	28.79228	28.80781	28.65127	28.40953	28.47816	28.45195
TR1403|c0_g1_i1|m.4209	NA	NA	25.86764	26.61203	26.10336	26.365	25.83499	26.56798	26.14301	25.41451	26.23628	25.42512	26.298	25.7454	25.85379	25.30156	26.08548	25.56194	25.41374	26.10294	25.27746	26.08323	26.49143	26.63076	26.16062	26.35016	26.06542	26.04256	24.31741	26.02259	26.58162	26.25234	26.07637	25.58517	26.18442	26.08805	26.1621
TR14146|c0_g1_i1|m.84610	NA	NA	24.72182	24.25997	24.54062	24.6484	24.83668	24.37259	24.49033	24.20068	24.10901	23.89578	23.91497	24.55999	25.20732	24.36185	24.61919	24.42393	24.83961	24.70883	23.77113	24.60755	24.16408	24.49576	24.4535	24.23615	24.04535	24.3929	23.91351	24.6871	25.00222	24.96349	24.58715	24.65097	24.45413	24.77057	24.53641
TR14172|c0_g2_i1|m.84712	NA	TRUE	27.17112	26.75455	26.8087	26.68271	27.48039	26.36561	27.69212	27.20256	27.85317	27.89851	27.67593	27.69166	26.11523	27.54281	27.0879	27.80575	28.16806	27.01892	27.82578	27.18187	27.51375	27.06887	27.37683	27.8337	27.69392	27.49098	28.42466	26.92705	26.06378	26.85792	27.00614	27.244	27.31657	27.12189	27.3836
TR14178|c0_g2_i1|m.84796	TR14178|c0_g2_i2|m.84801	TRUE	28.80796	28.6089	28.58014	28.48654	28.84631	28.69392	28.8811	28.25921	28.68762	28.67953	28.73799	28.60452	28.49785	28.38463	28.65513	28.98723	28.89577	28.69594	28.22371	28.54948	28.45219	28.5307	28.31838	28.54034	28.55072	28.74452	28.59121	28.58967	28.44577	28.69528	28.62363	28.91727	28.70708	28.74916	28.68335
TR14195|c1_g1_i1|m.85144	NA	NA	25.67433	25.95773	25.77155	25.70216	25.81914	26.29123	25.9865	25.79976	25.77367	25.20501	25.34587	25.57932	25.97895	25.43955	25.87169	25.42864	24.89855	26.36763	25.08233	25.82343	25.31565	25.84218	25.75165	26.00642	25.86264	25.81858	24.92764	25.84221	26.1057	26.32091	26.01001	25.19479	26.05007	26.28528	26.26503
TR14208|c0_g1_i1|m.85314	NA	NA	27.29018	26.82202	27.01297	26.67667	26.74663	26.9695	25.9572	25.80929	27.07204	26.82116	26.87771	26.76951	25.95624	26.6975	27.12258	27.12189	26.5773	26.50558	26.79029	26.37214	26.56602	27.09325	26.55473	26.93292	27.13222	26.22624	26.34188	26.81849	26.80045	26.51405	26.22066	26.91011	26.4056	26.82881	26.61246
TR14227|c0_g1_i1|m.85605	NA	NA	26.24244	26.09436	25.98214	25.99164	25.77052	25.47293	25.58609	25.16967	25.95868	26.02903	26.29012	25.98081	25.7984	25.55424	25.6421	25.27799	25.35723	26.10462	26.26976	25.81946	25.52627	26.31998	25.90465	26.11094	26.12853	25.3807	26.39526	26.14129	26.29966	26.21723	25.75837	25.22159	25.64968	25.48514	25.52576
TR14237|c0_g1_i4|m.85835	NA	NA	27.36886	26.95194	27.29263	27.5768	27.73854	27.57189	27.51367	27.85043	26.42077	26.52788	26.84745	26.46223	27.73925	26.28909	27.19854	26.39409	26.7366	27.2787	25.99077	27.28542	27.13614	26.68325	26.62199	26.37357	26.30595	26.89099	26.1731	27.05155	27.28604	27.17331	27.30042	27.48892	27.23252	27.29483	27.25827
TR14267|c0_g1_i2|m.86338	NA	NA	27.06538	26.87947	26.8889	27.44071	26.72884	27.14248	27.05258	27.69697	26.23414	25.94291	26.59619	25.98527	27.6463	26.43232	26.52828	25.65816	25.95917	26.89099	25.96186	26.9997	26.96554	26.93348	26.37882	26.5747	26.31304	26.98772	26.20242	27.21391	27.04009	27.25241	27.30008	24.89403	27.23781	26.93213	27.06332
TR14407|c0_g1_i1|m.86558	NA	NA	25.36616	25.31129	25.38232	25.32773	21.53096	25.81946	25.321	24.88367	25.58294	24.51533	24.79169	24.39447	24.65218	23.9173	25.89578	25.17016	22.67765	25.34432	24.47172	25.32371	24.28256	25.27288	24.66606	25.29478	25.63453	25.75274	24.71822	25.55306	25.4149	25.42056	25.43403	25.71075	25.58835	25.90332	25.63262
TR14455|c0_g6_i2|m.87664	NA	TRUE	29.97213	29.77908	29.97978	30.0683	30.23284	30.14029	30.27453	30.03918	29.69987	29.64969	29.94726	29.86182	30.11694	29.81676	29.98767	29.83611	29.9211	30.20653	29.20105	29.94866	29.71854	29.93719	29.66455	29.88451	29.73106	30.18116	29.2826	29.89879	29.78575	30.26662	30.13712	30.20862	29.91983	30.18884	30.2911
TR14457|c2_g1_i2|m.87761	NA	NA	30.68846	30.63218	29.48652	29.35187	29.4745	29.39562	29.2364	30.35374	30.53074	31.73481	30.09685	31.69942	27.73053	31.01265	29.29997	30.19648	31.55252	29.1547	32.46544	30.46129	31.2562	30.42502	31.01199	30.53139	30.73247	29.05227	32.37671	29.73854	29.95352	29.73046	29.67993	28.76658	29.05732	28.10029	30.04882
TR14463|c4_g1_i2|m.88154	NA	NA	32.09046	31.94845	31.65966	31.27275	31.24014	31.72302	31.15515	30.70915	31.97419	32.00394	31.97524	31.89959	31.43817	31.81989	31.80544	32.06024	31.54061	31.68946	31.89991	31.42046	31.28697	31.87401	31.6471	31.75107	31.87511	31.35568	32.11486	31.97859	31.88533	31.59535	31.55869	31.39775	31.69536	31.82297	31.571
TR14466|c1_g1_i1|m.88458	NA	NA	25.80233	25.44654	25.72203	26.08211	26.19082	25.4373	25.87622	26.75085	25.35988	25.37179	25.42063	25.10785	25.4954	25.42624	25.21948	24.96279	25.91837	25.52397	25.03385	25.88458	25.58927	25.25929	25.50739	25.39411	25.0411	25.58015	24.81504	25.84125	25.61512	25.78372	25.96528	25.42278	25.87818	25.14305	25.55622
TR14468|c1_g1_i1|m.88681	NA	NA	28.11431	28.24558	26.15609	26.23453	26.66736	26.31948	26.22468	26.81922	28.08639	29.47939	27.58764	29.46675	23.55247	28.71198	26.35563	27.99324	29.25406	25.38222	30.40821	27.87584	28.97309	27.96736	28.70441	28.15572	28.27733	25.776	30.40609	26.87162	27.17836	26.75328	26.83978	23.58978	25.43568	23.30734	27.38055
TR14478|c1_g2_i10|m.89550	NA	NA	26.62506	26.50574	26.81299	26.65335	26.54332	26.85377	26.78257	26.67465	26.34438	26.07525	26.28222	26.02578	26.96851	26.3227	26.68565	26.32915	26.26214	26.93461	26.08879	26.5786	26.16852	26.34888	26.30852	26.38418	26.29135	26.79724	26.31093	26.70728	26.83364	26.85899	26.97356	26.61428	26.8158	26.59605	26.67128
TR14524|c2_g5_i12|m.94378	NA	NA	26.09416	25.97836	24.47574	24.54593	24.1988	23.63245	23.9943	24.49234	26.4138	27.28092	26.18813	27.21586	21.71146	26.51974	24.79119	26.36021	26.86266	24.93715	28.51266	25.84577	26.55387	26.09796	26.60724	26.34636	26.35854	24.06505	28.48412	25.50894	25.70612	24.85129	24.22199	24.11537	24.30131	23.7896	25.36733
TR14539|c1_g33_i7|m.95835	NA	NA	27.14433	26.92841	26.98033	26.54426	26.52211	27.04698	26.34111	26.1596	26.81885	26.50417	26.65349	26.55229	26.53011	26.54731	26.76661	26.60399	26.29661	26.64815	26.73156	26.6807	26.11943	26.42158	26.28249	26.6971	26.63879	26.57261	26.91445	26.9077	26.94503	26.8839	26.73286	26.54212	26.69724	26.59534	26.65526
