ID	alt.ID	metabolism	pOT6.1	pOT6.2	pOT6.3	pOT6.4	pOT6.5	pOT10.2	pOT10.3	pOT10.4	pOT10.5	pHA6.1	pHA6.2	pHA6.3	pHA6.4	pHA6.5	pHA10.2	pHA10.3	pHA10.4	pHA10.5	pKV6.1	pKV6.2	pKV6.3	pKV6.4	pKV6.5	pKV10.2	pKV10.3	pKV10.4	pKV10.5	pVA6.1	pVA6.2	pVA6.3	pVA6.5	pVA10.1	pVA10.2	pVA10.3	pVA10.4
TR3473|c0_g1_i1|m.15605	NA	NA	27.39632	27.22325	26.9752	27.64657	27.43357	27.61751	25.98913	27.64808	26.86773	26.86278	27.12721	26.83014	27.3687	27.04604	27.06116	26.63603	26.71175	27.19985	26.25138	27.24663	27.26177	27.30643	26.99248	27.24916	27.00228	27.68666	25.77482	27.49366	26.73531	27.19535	27.17102	27.17055	27.43539	27.44506	27.36645
TR34831|c0_g1_i2|m.196948	NA	NA	29.83017	29.52867	29.73006	29.91142	29.84392	29.59888	29.80477	29.92224	29.61318	29.49697	29.5674	29.41212	29.84679	29.45162	29.63706	29.48429	29.35397	29.76737	29.43843	29.75867	29.42618	29.59101	29.51983	29.80723	29.45317	29.75707	29.31691	29.72332	29.61022	29.64207	29.76093	29.94643	29.53165	29.63908	29.61593
TR34853|c0_g1_i1|m.197371	TR34853|c0_g1_i2|m.197375	NA	29.85363	29.22506	29.42071	29.89144	29.70341	29.03575	30.07368	29.55293	29.38255	29.31201	29.41935	29.0928	29.63964	29.65032	29.12891	29.45358	29.26255	29.43744	29.00638	29.52386	29.69752	29.50349	29.66937	29.22179	29.47508	29.5404	29.11501	29.94838	29.46115	29.15231	29.46291	29.25214	29.61519	29.4662	29.56382
TR34867|c0_g1_i3|m.197698	NA	NA	26.02642	25.97207	26.6345	26.31931	26.74214	26.77128	26.44164	26.93225	26.1042	25.94242	25.83224	25.65248	27.31328	26.33084	27.03612	26.57347	26.55738	27.15238	24.73784	26.14332	25.686	25.2617	25.85655	25.81384	25.91413	26.78469	24.9743	26.10777	25.74078	26.40732	26.54314	27.0135	27.15045	27.28207	26.76598
TR34870|c0_g1_i1|m.197732	NA	NA	28.58724	28.47545	28.19896	28.19329	28.05471	28.56322	28.29741	27.6637	28.36114	28.49488	28.35368	28.59726	28.24821	28.32899	28.05662	28.32225	28.37306	28.11287	28.7855	28.16284	28.38722	28.36507	28.24182	28.13643	28.37613	27.90581	28.74256	28.65983	28.45423	28.41422	27.99906	27.77869	28.00699	28.02691	28.1488
TR34894|c0_g1_i1|m.198428	NA	NA	23.48505	23.5643	23.21944	24.10326	22.54021	22.79576	23.63622	22.85472	23.17509	23.28968	23.07137	22.94172	22.73719	22.79747	22.79519	22.90775	23.0807	22.69526	23.2737	23.07344	23.65687	23.71555	23.45325	22.8924	22.94453	23.26327	22.9851	23.51208	23.22892	22.93465	23.08304	22.64463	23.26026	22.9613	23.36292
TR34897|c0_g1_i4|m.198486	NA	NA	25.8458	26.31124	26.49578	26.75506	26.94927	26.55552	26.45207	28.24481	25.61588	25.26435	26.00082	25.70263	25.83928	25.7749	25.92125	23.4739	24.93598	26.72975	25.55573	26.64045	26.79588	26.8381	26.55554	26.69179	25.82985	26.91559	25.06645	26.4139	27.04854	26.97498	27.33969	26.36423	26.89931	26.47675	26.80477
TR34898|c0_g3_i2|m.198509	NA	NA	26.72299	26.20553	26.16779	26.42885	26.4195	26.06388	26.22509	26.04798	26.15677	26.30172	25.853	26.17529	26.4928	26.32812	26.36461	26.22915	25.94798	26.24342	25.82194	26.045	26.09967	26.22066	26.22247	26.13575	26.06755	25.99272	26.01474	26.38087	26.29481	26.27987	26.25665	26.11823	26.1222	26.13179	26.16747
TR35060|c4_g1_i14|m.199964	NA	TRUE	28.36915	28.44806	28.23261	28.10059	29.07531	27.90862	29.22359	27.83008	29.26219	28.32466	29.25174	28.31549	27.93731	28.14424	28.33769	29.19882	29.08626	28.81109	28.77442	28.0873	28.25714	29.35277	27.80101	28.88681	28.70372	29.0966	28.20844	28.92258	28.17284	28.41288	28.90993	29.22878	28.73179	29.23178	28.89807
TR35065|c0_g1_i2|m.200037	NA	NA	27.75455	27.69783	27.84757	27.89758	27.91525	27.74355	28.08613	27.83665	27.45842	27.40957	27.51164	27.31527	27.90759	27.75481	27.91119	27.80452	27.41538	28.18825	27.22894	27.79458	27.46568	27.3864	27.60576	27.46037	27.53029	28.10435	27.31008	27.8549	27.90162	27.83792	27.98212	27.8725	28.11183	27.68572	27.84464
TR35119|c1_g1_i2|m.201091	NA	NA	28.1961	27.80717	27.75634	27.15817	27.37069	27.2479	27.1057	26.88774	27.79631	27.97995	27.76161	27.97607	27.29	27.85478	27.51961	27.90127	27.82141	27.34672	27.92801	27.57802	27.20219	27.63097	27.56296	27.74027	27.8242	26.94112	27.9673	27.73344	27.69471	27.57239	27.13389	27.45136	27.2006	27.16356	27.14802
TR35133|c5_g1_i3|m.201932	NA	NA	28.62226	28.3399	29.03949	29.12218	29.13946	28.88005	28.62335	29.73425	28.1775	28.09144	28.5136	28.18924	29.03304	28.76926	28.82617	28.44368	28.24463	28.96714	27.33637	29.22543	28.63055	28.44202	28.73279	28.19535	28.33748	28.98172	27.74926	28.97831	28.75605	28.56885	29.178	28.90753	29.13519	28.66953	29.26535
TR35147|c2_g1_i1|m.202690	NA	NA	27.33858	27.28189	27.14763	26.91559	27.05217	27.14657	26.62492	26.67061	27.3238	27.12898	27.14744	27.1671	26.48945	27.0702	27.38837	27.21466	26.97301	27.06085	27.0134	26.9955	26.46098	27.25961	26.89585	27.15923	27.13457	26.9862	27.25296	26.95936	27.23041	27.15788	27.07184	27.04156	26.9476	27.09104	27.03423
TR35148|c0_g8_i2|m.202758	NA	NA	24.68132	25.16756	25.52528	25.14853	25.76825	25.18336	25.99328	26.1433	24.94467	24.52993	25.49625	25.04026	25.15831	24.58405	23.11024	25.09668	25.97636	25.07288	24.90141	25.77744	24.96455	25.54622	24.7399	25.25591	24.86985	25.24692	24.94275	24.77901	25.38847	25.45497	25.44638	26.01065	25.06394	25.93841	25.77774
TR35167|c2_g3_i2|m.204251	NA	NA	28.74403	28.37745	27.93966	28.24717	28.5602	27.86089	28.81424	29.09182	28.37065	28.45501	28.25165	28.38952	26.98999	28.53571	27.84529	27.70616	28.26553	28.0644	28.31199	28.30604	28.93854	28.34794	28.5837	28.75548	28.15759	28.53875	28.09336	28.65789	28.32217	28.22555	28.56924	27.79835	28.1455	27.51563	28.37613
TR35192|c8_g1_i1|m.206223	NA	TRUE	30.44747	30.09786	30.25259	30.52131	30.53575	30.35595	30.65472	31.01312	30.08563	30.19999	30.48232	30.06343	30.51107	30.4344	30.21974	30.4004	30.50644	30.4716	29.85237	30.21489	30.60152	30.35563	30.3529	29.82458	30.04466	30.39877	29.92493	30.35626	30.26349	30.29778	30.5845	30.55307	30.41155	30.67059	30.5154
TR35198|c2_g1_i1|m.206657	NA	NA	27.3869	27.31441	27.30304	26.91331	26.70728	27.35725	26.36713	26.76142	27.00443	27.06846	27.35809	26.83774	26.85698	26.87338	27.27418	26.97104	26.60385	27.31941	27.14928	27.02369	26.77806	27.26937	26.96102	27.07245	27.11862	26.76598	27.15209	27.22995	27.43674	27.34866	27.12741	26.80156	27.22683	27.03444	26.95338
TR35222|c1_g1_i1|m.208427	NA	NA	24.32457	23.83615	23.70662	22.06202	23.58612	23.55894	23.1349	23.46001	23.9168	23.71775	23.77173	23.90711	23.32951	23.70081	24.05854	24.12833	22.87211	24.14833	23.83836	23.94083	23.30327	23.47098	23.72224	23.48161	23.83103	23.46799	23.58635	24.07308	23.81245	23.43084	23.7959	23.4929	23.46376	23.44468	23.51593
TR35222|c4_g3_i1|m.208451	NA	NA	28.87194	28.58276	27.72813	27.46871	27.28118	27.17236	27.18773	26.68418	28.87121	29.38249	28.73525	29.2795	26.92298	28.76999	27.90742	28.74766	29.01914	27.41167	29.94238	28.29877	28.67755	28.44636	28.71934	28.50074	28.70876	27.16279	29.7911	28.30382	28.13766	27.75322	27.51036	27.45223	27.34925	27.44593	27.80882
TR35471|c0_g1_i1|m.209903	NA	NA	26.12122	26.09037	26.58118	26.87385	26.80563	26.57586	26.70491	27.18272	26.10677	25.6504	26.19095	25.86008	26.8423	26.00108	26.83569	26.33872	26.45263	26.71227	25.47769	26.63519	26.36698	26.58678	25.97845	26.49296	26.26259	26.91798	25.57646	26.70187	26.10243	26.41889	26.46753	27.11406	26.66139	26.85091	26.33067
TR35573|c0_g1_i1|m.210540	NA	NA	26.86597	27.35842	27.34934	27.48754	27.78575	27.23041	27.50915	27.82857	26.55101	26.61807	27.08922	26.68083	27.62729	26.62492	27.02686	26.80538	27.13819	27.40454	26.62282	27.41917	27.00699	27.30199	26.73622	26.93337	26.60116	27.31924	26.25879	27.56136	27.46256	27.54995	27.3368	27.40471	27.06116	27.48838	27.34756
TR36450|c0_g1_i1|m.212461	NA	NA	25.77781	26.54906	26.77505	26.8797	26.70872	26.81495	26.57557	26.56042	25.96583	24.63539	26.79117	25.87523	27.07918	26.25757	26.43717	26.09973	25.40879	26.75863	24.08408	26.50907	26.20669	26.69604	26.10424	26.07392	25.79704	26.44607	22.69158	25.89823	26.85863	26.98316	26.90139	26.30058	26.65635	26.73092	26.60272
TR36462|c0_g1_i1|m.212512	NA	NA	23.70303	23.80499	23.73645	23.90003	23.8468	24.28539	23.78736	23.90976	23.77062	23.06938	23.55882	23.34422	23.46389	23.28814	23.96869	23.40341	22.40891	23.85956	22.7881	23.9778	23.34381	23.97552	23.42675	23.81245	24.06645	23.91853	22.42601	23.65261	24.62249	24.08635	24.33593	23.84527	24.12068	24.29733	24.32155
TR36479|c0_g2_i2|m.212581	NA	NA	28.62255	29.59571	30.00384	30.68712	30.92974	30.28449	30.54499	31.35242	29.23425	27.33202	29.32667	29.02876	31.4564	29.86866	29.89218	29.4107	29.54136	30.5122	26.16617	30.02208	29.7473	30.15195	30.06561	29.13773	28.76775	30.4609	26.59221	29.2035	30.06766	30.04583	30.60205	30.77674	30.21338	30.43797	30.24841
TR36530|c0_g1_i1|m.212724	NA	NA	23.98207	23.76911	23.8399	23.81753	23.87465	24.01742	23.99723	23.27085	23.78875	23.78865	23.86524	23.43847	24.11259	23.79253	23.63976	24.01248	23.63112	23.59514	23.56593	23.72682	23.50215	23.61358	23.48886	23.90205	23.43339	23.7681	23.42714	24.03507	23.74837	23.85339	23.85738	24.02884	22.30852	23.93921	23.75888
TR36724|c0_g1_i1|m.212997	NA	NA	26.73957	26.28572	26.43705	26.65526	26.31417	26.1778	26.73415	26.2871	26.13369	26.45933	26.53638	26.1719	26.52085	26.48248	26.22356	26.34618	26.10185	26.60357	26.23604	26.33822	26.48631	26.53084	26.4438	26.16873	26.32397	26.60541	26.22308	26.59889	26.27991	26.57524	26.45521	25.98891	26.4349	26.58506	26.34878
TR37058|c0_g1_i3|m.213580	NA	NA	27.6618	27.41941	27.48293	27.4438	27.796	27.83376	27.53252	27.81556	27.44364	27.417	27.46848	27.39493	27.75455	27.75481	27.54008	27.42246	27.51058	27.55567	27.11515	27.54289	27.05497	27.18622	27.308	27.39664	27.22913	27.54812	26.95649	27.58549	27.59456	27.51043	27.71411	27.87789	27.55925	27.52657	27.64945
TR37643|c0_g1_i1|m.214923	NA	NA	25.71022	25.1143	25.16909	25.7252	25.2989	24.66112	25.86528	24.73402	25.16818	25.58652	25.10913	25.61913	24.79323	26.00363	24.31831	25.36806	23.58887	24.4177	25.88858	25.1741	24.96071	25.56291	25.58362	25.15958	25.64809	25.25454	25.95777	25.55722	24.89435	25.30295	24.8261	24.81914	25.21156	24.6011	25.33272
TR38666|c1_g1_i1|m.217219	NA	NA	24.4853	25.27462	25.02297	25.26406	24.37842	24.73552	24.79179	24.58955	24.45939	24.53902	24.88739	23.86571	24.2303	25.0456	23.97448	24.81078	23.47211	25.30292	24.81162	24.57934	24.62923	25.13935	25.06271	24.72869	25.03867	24.52277	24.52821	24.44872	25.06747	24.73872	25.15815	25.0547	25.26431	24.73918	25.08792
TR38755|c0_g1_i1|m.217798	NA	NA	25.54784	25.32217	25.29102	25.13238	25.56407	25.34604	25.46089	24.55327	25.5153	25.40272	25.45444	25.25083	25.32175	25.11589	25.22196	24.9208	25.21878	24.84819	25.5461	25.23714	25.33763	25.37385	24.56686	25.51788	24.84201	25.23458	25.09434	25.03234	25.18408	25.34669	25.21471	25.5299	25.20836	25.38182	25.57508
TR38791|c0_g1_i1|m.218165	NA	NA	26.1605	25.90268	26.52777	26.23131	26.60357	26.22744	26.19845	26.49561	25.7097	26.14892	26.22238	25.75756	26.87923	26.02992	25.93778	25.80816	25.85198	26.21847	25.55625	26.08294	25.88972	25.71135	26.1759	25.60481	25.96036	26.10635	25.80759	26.35646	26.11878	26.33783	26.04266	26.22407	25.77666	25.96638	26.3132
TR38803|c0_g1_i1|m.218305	NA	NA	25.52859	25.58193	25.29032	25.83901	26.21117	25.93674	26.17568	26.51841	25.51872	24.63848	25.13536	24.37994	25.80762	25.5376	24.92994	25.04389	24.49033	25.52761	24.54315	25.42169	25.08456	25.21934	24.84795	24.85153	24.4716	25.67082	24.16569	25.56767	25.41558	26.13185	25.55511	25.41216	25.59761	25.51785	25.63223
TR39037|c0_g1_i1|m.218956	NA	NA	24.4128	24.29355	24.89865	24.89735	25.84266	25.38693	25.05714	25.49662	24.55555	23.49497	24.01631	23.00925	25.1325	24.35151	25.42329	24.44941	24.40633	25.17881	22.91543	24.74134	23.82648	24.1916	24.38482	24.79917	24.33892	25.51572	23.64515	25.09623	24.1686	24.64163	24.91287	25.9797	25.24826	25.74121	25.10745
TR39044|c0_g1_i1|m.218984	NA	NA	25.56375	25.25764	24.97937	24.2832	24.51449	24.87647	23.80282	24.24699	24.97022	25.40067	25.16546	24.93427	21.85608	24.93917	24.91397	25.02124	23.70261	24.77339	26.03303	24.79154	24.17188	25.05072	24.62762	25.58578	25.08829	23.63201	25.86474	25.01329	25.01461	24.56976	24.55491	23.28386	24.02926	24.87783	24.22096
TR40060|c0_g1_i2|m.221465	NA	NA	28.15784	28.40888	28.75411	28.99048	28.86118	29.01943	28.87959	29.36469	28.22099	27.81855	28.58172	28.03302	29.2512	28.37148	28.84933	28.22587	28.54344	29.02184	27.29378	28.88489	28.37774	28.65915	28.5687	28.79253	28.41748	29.27682	26.63118	28.73889	28.73367	28.94955	29.06435	29.04932	29.11877	29.02475	29.07623
TR40080|c0_g1_i1|m.221907	NA	NA	27.12031	26.99959	27.30103	27.25539	27.40503	27.58176	26.87713	27.28498	26.78432	26.58949	27.04916	26.77794	27.34511	26.91525	27.32937	26.78569	26.61316	27.26598	26.39642	27.26419	26.59449	26.86609	26.81115	27.2305	26.73066	27.12001	25.73273	27.10649	27.24027	27.46754	27.39926	27.60428	27.41563	27.37468	27.32697
TR40080|c0_g2_i4|m.221930	NA	NA	26.46404	26.55642	26.89203	26.93899	26.50806	27.15615	26.41038	27.69299	26.0131	26.07049	26.89655	26.33628	27.72735	26.27755	26.84769	26.49274	26.28843	27.03475	25.93373	26.97191	26.81531	27.29597	26.68164	27.33697	26.57518	27.26607	25.4562	27.21623	27.21697	27.02675	27.49755	27.09487	27.11327	27.23197	26.87725
TR40110|c0_g1_i1|m.222787	NA	NA	23.93508	24.29362	24.55947	24.26112	24.14763	24.42752	24.51527	24.86278	24.05772	22.5634	23.37836	23.9358	25.53505	23.71597	24.10029	22.80744	23.73913	24.58852	24.02293	24.37955	22.91293	24.34435	25.04852	24.96305	24.29901	24.65075	23.55689	25.49231	25.34086	24.99611	25.47302	23.77616	24.78591	24.47314	24.80809
TR40135|c0_g1_i1|m.223430	NA	NA	29.39376	29.33035	28.98577	28.92207	28.7325	29.18068	28.53908	28.72514	28.80799	28.95474	29.20995	29.08525	29.17	28.98929	28.83232	28.74737	28.36328	29.0517	29.22099	29.19178	28.9579	29.05711	28.88186	29.57624	29.00327	28.71483	29.27473	28.924	29.25029	29.18262	28.85362	28.55812	28.83241	28.94464	28.92654
TR40451|c0_g2_i1|m.225045	NA	NA	23.40145	24.34814	24.50761	24.66069	24.57669	24.21319	24.92084	26.28411	24.09571	23.18292	24.22883	24.35964	24.17196	24.77203	23.85224	24.08772	23.84709	24.3908	23.32164	25.15588	25.12947	24.67616	24.52791	24.45394	24.39414	24.33081	21.99846	23.91497	24.15437	24.69445	25.16737	24.32244	24.15746	24.43466	24.70234
TR40464|c1_g1_i1|m.225225	NA	NA	26.24853	26.24668	26.38032	26.27323	26.30259	26.44462	26.03355	25.71843	26.15821	26.14318	26.36175	26.24353	26.59577	26.12011	26.20497	26.24084	26.15074	26.28773	25.8136	26.07108	26.0125	26.13598	26.15775	25.71929	25.91793	25.95429	25.4535	26.30114	26.46889	26.32366	26.40474	26.62645	25.71274	26.48258	26.09664
TR40477|c0_g2_i1|m.225503	NA	NA	26.1667	26.028	26.52563	26.90104	27.05507	26.43395	26.56066	27.19892	25.74543	25.88583	25.97636	25.94927	26.92196	26.35798	26.17819	26.2168	26.46223	26.47649	21.95727	26.62492	25.95824	26.18741	26.28574	25.7185	25.92757	26.46108	25.46348	26.46353	26.10705	26.47475	26.87561	26.49942	26.61077	26.51321	26.48478
TR4051|c0_g1_i1|m.16583	NA	NA	24.6184	24.56343	24.25717	23.80568	23.67282	24.36292	23.31686	23.46375	24.75154	24.74602	24.64466	24.87615	23.85491	24.19054	23.11398	24.32876	22.95352	24.13179	24.86707	23.90518	24.13446	24.38851	24.66752	24.55426	24.58881	23.78047	25.6091	24.27035	24.63567	24.47803	22.42127	24.27689	24.06011	22.7783	24.10494
TR40698|c0_g1_i3|m.226295	NA	NA	26.00565	25.87375	26.2558	26.5852	26.50129	26.27757	26.34328	26.66953	26.0768	25.40451	25.69846	25.0441	26.00176	25.5183	26.17232	26.00215	24.14979	26.22799	25.04897	25.74466	25.74947	25.70875	25.55488	25.42227	25.39807	26.42171	25.28468	26.00247	25.70419	26.03429	26.17181	26.65007	26.20458	26.17133	25.98403
